,index,road,km,type,name,length,condition,lat,lon,model_type
47,46,N1,39.304,RCC Girder Bridge,BALDHA KHAL RCC GIDER BRIDGE,21.8,C,23.5324186,90.7242807234,bridge
48,47,N1,39.86,Box Culvert,MAIS PARA BOX CULVERT,6.0,B,23.5317587831999,90.7291780095,bridge
49,48,N1,42.936,RCC Girder Bridge,Shahid Nagor Bridge,16.5,C,23.5298050611,90.75825325,bridge
50,49,N1,45.164,Box Culvert,SARKAR BARI CULVERT,3.9,C,23.5307655282208,90.7800797251533,bridge
51,50,N1,46.871,Slab Culvert,AMIRABATH SLAB CULVERT,6.5,C,23.5308683409424,90.7918075171727,bridge
52,51,N1,48.384,RCC Bridge,Ginlatoly,15.9,C,23.5318234765,90.8110155135,bridge
53,52,N1,50.558,Box Culvert,RAIPUR BOX CULVERT,12.2,A,23.5329743291,90.8309774761999,bridge
54,53,N1,52.313,Box Culvert,AITAL BANGA BOX CULVERT,4.5,C,23.5229166652,90.8442186132,bridge
55,54,N1,56.006,RCC Girder Bridge,Illiot bazar Bridge,28.9,C,23.510087758207,90.8757204035353,bridge
56,55,N1,58.838,Box Culvert,KHAT GHOR BOX CULVERT,5.9,B,23.5060024341,90.9021745389,bridge
57,56,N1,60.83,Box Culvert,BAKRA BOX CULVERT,3.0,B,23.5056131416,90.9214660218,bridge
58,57,N1,63.098,Slab Culvert,MATIA BAZER,6.0,B,23.5024077848,90.9432418928,bridge
59,58,N1,63.538,Box Culvert,SONAPUR BOX CULVERT,3.0,A,23.5013551924,90.9473844088999,bridge
60,59,N1,66.178,Slab Culvert,KARON KHAL SLAB CULVERT,4.6,B,23.495896314,90.9715772516,bridge
61,60,N1,68.04,Box Culvert,MILL GHAT BOX CULVERT,4.5,A,23.4932728146,90.9887200416,bridge
62,61,N1,71.156,RCC Girder Bridge,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,23.1,C,23.4868805937254,91.017566692647,bridge
63,62,N1,74.279,Box Culvert,CORI PAI BOX CULVERT,4.6,B,23.4817873233065,91.0463348850746,bridge
64,63,N1,75.312,Box Culvert,COREPAI BOX CULVERT,4.6,B,23.4817498298684,91.0563549686842,bridge
65,64,N1,76.481,Slab Culvert,NIMSHAR SLAB CULVERT,1.5,A,23.480613086,91.0674097692,bridge
66,65,N1,78.382,Slab Culvert,KABILA DUBARCHAR SLAB CULVERT,1.0,C,23.4776722851,91.0847406393,bridge
67,66,N1,80.949,Box Culvert,NAZIRA BOX CULVERT,3.0,B,23.4781159049382,91.1070332074074,bridge
68,67,N1,82.437,Box Culvert,TIPRA BAZAR BOX CULVERT,1.4,A,23.4794083880733,91.1238920825688,bridge
69,68,N1,82.989,Slab Culvert,AMTOLI SLAB CULVERT,2.9,A,23.479544924,91.129047144,bridge
70,69,N1,87.713,RCC Girder Bridge,Dhanpur Bridge,22.85,C,23.4436339598272,91.1493668151188,bridge
71,70,N1,91.092,RCC Girder Bridge,Paduar Bazar Bridge,35.97,C,23.4212487704918,91.1678943372365,bridge
72,71,N1,93.6,RCC Girder Bridge,Mostapur Bridge,27.35,C,23.4119324230158,91.1939029849206,bridge
73,72,N1,97.257,RCC Girder Bridge,Matigara Bridge,27.35,C,23.3976518197887,91.2234221346859,bridge
74,73,N1,100.938,RCC Girder Bridge,Suagazi Bridge.,30.48,A,23.3713647755,91.2450175414999,bridge
75,74,N1,103.456,RCC Girder Bridge,Lalbag Bridge.,22.88,C,23.3521636774381,91.2572910746724,bridge
76,75,N1,104.753,Box Culvert,CHANSIRI BOXCUIVERT,14.3,A,23.342671472,91.264485636,bridge
77,76,N1,106.519,Box Culvert,MIABAZAR BOX CULVERT,24.0,A,23.3301462324,91.2748792824,bridge
78,77,N1,108.125,Box Culvert,NOYA BAZER BOX CULVERT,9.2,A,23.3180696869138,91.2830867321701,bridge
79,78,N1,109.289,Box Culvert,DOLL BARI CULVERT,19.2,B,23.3083612731261,91.2865787034735,bridge
80,79,N1,109.897,Slab Culvert,DHARMA PUR SLAB CULVERT,2.6,B,23.3034306450331,91.2889770397351,bridge
81,80,N1,110.551,Box Culvert,LALGORE BEZER CULVERT,3.2,A,23.2979675271676,91.2910141369942,bridge
82,81,N1,111.509,Box Culvert,SUPUYA BOX CULVERT,13.4,A,23.2897066386454,91.2929584711155,bridge
83,82,N1,112.469,Box Culvert,BOWCHI BAZAR CULVERT,4.6,B,23.2821949258397,91.2966655096899,bridge
84,83,N1,113.717,Box Culvert,AMAN GONG SLAB CULVERT,6.3,B,23.27301895,91.3029661882,bridge
85,84,N1,115.052,Box Culvert,RANGAMATIA (1 BOX CULVERT,3.0,B,23.2618360940594,91.3070217386138,bridge
86,85,N1,115.326,Slab Culvert,RANGOWATIA 2 CULVERT,3.0,B,23.25941665,91.3073611,bridge
87,86,N1,115.525,Box Culvert,NOWA PARA BOX CULVERT,3.6,B,23.2576429774881,91.3076156494075,bridge
88,87,N1,116.074,Box Culvert,HARISHARDE CULVERT,4.5,B,23.2527463398104,91.3083926405213,bridge
89,88,N1,117.087,Box Culvert,SONAGATI BOX CULVERT,2.5,B,23.2443915125925,91.3114032292592,bridge
90,89,N1,117.269,Box Culvert,BALUJURI BOX CULVERT,19.2,B,23.2429040619631,91.3119739539877,bridge
91,90,N1,117.627,Box Culvert,BALUZURI 2 CULVERT,2.6,A,23.2397920309669,91.3125740860465,bridge
92,91,N1,118.049,Box Culvert,KALIR BAZAR BOX CULVERT,2.5,A,23.2360759516523,91.3129901976744,bridge
93,92,N1,118.856,Box Culvert,KALIA BAZER BOC CULVERT,3.1,B,23.2289195919642,91.3134220678571,bridge
94,93,N1,119.19,Box Culvert,CHAUDDAGARAM BOX CULVERT,2.6,B,23.2259184472573,91.3135697177215,bridge
95,94,N1,119.628,Box Culvert,CHADDAGRAM BAZAR BOX CULVERT,6.0,A,23.2220338977777,91.3137005933333,bridge
96,95,N1,120.634,Box Culvert,HAYDAR POLE BOX CULVERT,14.3,B,23.2131955721448,91.3153497403899,bridge
97,96,N1,121.567,Box Culvert,FALGUNCORA CULVERT,6.1,A,23.2050386287937,91.3163167282749,bridge
98,97,N1,122.603,Box Culvert,ATTOCK GRAM BOX CULVERT,6.1,A,23.1961887953757,91.3176705069364,bridge
99,98,N1,123.681,Box Culvert,BOSONTA PUR BOX CULVERT,6.1,C,23.1874350254302,91.3209051317399,bridge
100,99,N1,124.346,Box Culvert,BASHONTA PUR (2,9.5,B,23.1817958149837,91.3208787514658,bridge
101,100,N1,125.41,Box Culvert,NANKORA BOX CULVERT,3.1,B,23.1726272318681,91.3205774642857,bridge
102,101,N1,126.448,Box Culvert,ANDAJER BAZER BOX CULVERT,9.5,A,23.1635138669191,91.3215889464646,bridge
103,102,N1,127.673,Box Culvert,DIMATOLI (1 BOX CULVERT,6.3,B,23.1527364949367,91.3243178772152,bridge
104,103,N1,128.767,Box Culvert,DIMATOLY (2 BOX CULVERT,3.5,B,23.1436667679334,91.3266680470308,bridge
105,104,N1,129.291,Box Culvert,JAGARNATHPUR BOX CULVERT,6.1,B,23.1389893200345,91.3263585348877,bridge
106,105,N1,129.955,Box Culvert,JAGOT PUR BOX CULVERT,3.0,B,23.1332639685968,91.327546416481,bridge
107,106,N1,130.912,Box Culvert,HASO BOTHACH BOX CULVERT,6.5,A,23.1252363577777,91.3303863688888,bridge
108,107,N1,131.577,Slab Culvert,FOKIR BAZAR SLAB CULVERT,4.5,B,23.1196973774193,91.3328165129032,bridge
109,108,N1,132.079,Box Culvert,KAKKARA CULVERT,5.3,B,23.1158251554,91.335094485,bridge
110,109,N1,133.155,Box Culvert,Chanara Box Culvert,6.1,A,23.1074284451388,91.3400495436111,bridge
111,110,N1,133.873,Box Culvert,CHANGARPULL(II BOX CULVERT,3.1,B,23.1017563206521,91.343162998913,bridge
112,111,N1,134.426,Box Culvert,ADONCORA,9.5,B,23.0973512527272,91.3454956309091,bridge
113,112,N1,134.974,Box Culvert,PODOYA BOX CULVERT,3.1,A,23.0930298369186,91.3478308386627,bridge
114,113,N1,135.723,Box Culvert,FOEALTPARA BOX CULVERT,9.25,B,23.0870753710144,91.3512101492753,bridge
115,114,N1,136.375,Box Culvert,UTTOR KAIEATI CULVERT,3.5,A,23.0819909531309,91.3541811474383,bridge
116,115,N1,136.899,Box Culvert,KOKALI BOX CULVERT,14.2,B,23.0779647046997,91.3566005031331,bridge
117,116,N1,137.856,Box Culvert,DUTHOSHA BOX CULVERT,6.1,B,23.070198184,91.3603022,bridge
118,117,N1,138.953,Box Culvert,MOHAMMAD ALI MAZAR,4.0,B,23.0607473333333,91.3618624619047,bridge
119,118,N1,141.531,Box Culvert,FATAPUR BOX CULVERT,10.8,A,23.0379728055555,91.3656784724359,bridge
120,119,N1,142.793,Slab Culvert,DEBIPUR SLAB CULVERT,1.6,A,23.0269801170731,91.3655004839721,bridge
121,120,N1,144.939,Box Culvert,CHARIPUR CULVERT.,3.4,A,23.0124048410423,91.3779796149837,bridge
122,121,N1,147.296,Box Culvert,RAMPUR BOX CULVERT,1.5,A,22.999248756,91.3957752,bridge
123,122,N1,148.151,RCC Girder Bridge,RAMPUR BRIDGE,23.4,A,22.9947280792802,91.4022894900763,bridge
124,123,N1,148.174,PC Girder Bridge,Rampur Bridge(R,22.15,A,22.9945936133042,91.4024539137404,bridge
125,124,N1,148.495,Box Culvert,.,1.9,A,22.9927169359869,91.4047486961832,bridge
126,125,N1,153.843,PC Girder Bridge,LAMUA BRIDGE,94.05,B,22.9614487369369,91.4429962027027,bridge
127,126,N1,158.031,Box Culvert,FAZAILPUR BOXCULVERT,1.5,A,22.9486038666666,91.4794993833333,bridge
128,127,N1,160.379,PC Girder Bridge,MUHURI BRIDGE,191.5,B,22.9496126090047,91.502066899526,bridge
129,128,N1,165.183,PC Girder Bridge,DumGhat Bridge(L,222.43,A,22.9149647061403,91.5262895350877,bridge
130,129,N1,165.183,PC Girder Bridge,DHOOM GHAT PC GIRDER,220.6,B,22.9149647061403,91.5262895350877,bridge
131,130,N1,165.825,Box Culvert,BUMGAT BOXCULVERT,6.1,A,22.9097128884012,91.5289285034482,bridge
132,131,N1,166.479,Slab Culvert,BOROYAR PARA SLUB CULVERT,3.0,A,22.9042462955223,91.5316297776119,bridge
133,132,N1,167.963,Box Culvert,BAROYARHAT BOX CULVERT,3.0,A,22.8916386,91.5354719,bridge
134,133,N1,169.933,Box Culvert,UTTOR SONAPAR BOX CULVERT,4.3,A,22.8746986941176,91.5408836647058,bridge
135,134,N1,170.174,Box Culvert,CHAIRMEN BARI BOX CULVERT,2.0,A,22.872722034892,91.5415958766187,bridge
136,135,N1,170.725,Box Culvert,MADDAM SONAPAR(1 BOX CULVERT,1.5,A,22.8680563702127,91.5432963340425,bridge
137,136,N1,171.554,Box Culvert,DHARBAR TILA CULVERT,4.3,A,22.8609876872509,91.5451551717131,bridge
138,137,N1,171.728,Box Culvert,MADDUM SONAPHAR-3,2.0,A,22.8594847882591,91.5454799987854,bridge
139,138,N1,172.122,Box Culvert,MAMAFOUN ASTANA CULVERT,1.5,A,22.8560565672727,91.5457188709091,bridge
140,139,N1,172.23,Slab Culvert,MAMAFAKIR ASTANA SLAB CULVERT,1.5,A,22.8551475327433,91.5458221849557,bridge
141,140,N1,172.969,Box Culvert,MASTANNAGOR BONCUL(1,8.5,A,22.8486172764705,91.5463706117647,bridge
142,141,N1,173.35,Box Culvert,MUSTAU NOGAR(2,3.0,A,22.8453914894736,91.5474689210526,bridge
143,142,N1,173.585,Box Culvert,MASTARI HAGOR 3 CULVERT,1.5,A,22.8434551375,91.54814955625,bridge
144,143,N1,173.859,Box Culvert,MUSTAN NAGAR -4,3.0,A,22.8410943334277,91.5488096951841,bridge
145,144,N1,174.804,Box Culvert,RAIPUR BOX CUL-1,3.0,A,22.8327467692419,91.5501035014577,bridge
146,145,N1,175.013,Box Culvert,RAIPUR (2 BOX CULVERT,4.5,A,22.8309613422018,91.5505028545871,bridge
147,146,N1,175.785,Box Culvert,PURPU DURGAPURE BOX CUL,12.4,C,22.8243706577981,91.5526915454128,bridge
148,147,N1,177.247,Box Culvert,MUCHIPOOL CULVERT,9.5,B,22.811563437647,91.5562562129411,bridge
149,148,N1,179.363,Box Culvert,MIRSARAI BOX CUL,4.5,A,22.7941813523326,91.5629612622718,bridge
150,149,N1,180.85,RCC Girder Bridge,MIRAISORI BRIDGE,23.2,B,22.7821968918511,91.5691025661971,bridge
151,150,N1,181.825,Box Culvert,Mirsorai(2 box culvert,6.0,A,22.774197092,91.5728737519999,bridge
152,151,N1,182.318,Box Culvert,IANAINIPOL BOX CULVERT.,9.7,A,22.770251666098,91.5750905211087,bridge
153,152,N1,183.296,Box Culvert,BOKIMTOLA BOX CULVERT,4.0,A,22.7630626913907,91.5804538821192,bridge
154,153,N1,184.654,Box Culvert,VARTAKA BOX CULVERT,12.9,A,22.7535653245121,91.5886004236585,bridge
155,154,N1,185.058,Box Culvert,VARTAGIA BOX CULVERT,3.0,A,22.7506393495689,91.5908840370689,bridge
156,155,N1,185.842,Box Culvert,BOTHAGIA (-3 BOX CULVERT,8.1,B,22.7445136523437,91.5943998915364,bridge
157,156,N1,188.35,Box Culvert,NIAZAMPUR BOX CULVERT,3.0,A,22.723316755473,91.6024331404452,bridge
158,157,N1,189.058,Box Culvert,MIRJAPUR BOX CULVERT,3.0,A,22.7178243865384,91.6057623307692,bridge
159,158,N1,189.13,Box Culvert,MIRZAPUR (2 BOX CULVERT,3.0,A,22.7172707342307,91.6061084846153,bridge
160,159,N1,189.58,Box Culvert,ISAMATI BOX CULVERT,19.2,C,22.7138727382812,91.6082352218749,bridge
161,160,N1,191.107,Box Culvert,DUKHIN UTHPAR BOX CULVERT,19.2,A,22.701816503937,91.6149734608923,bridge
162,161,N1,192.408,Box Culvert,VANGGARPOL BOX CULVERT,4.2,A,22.6912517148148,91.6201690574074,bridge
163,162,N1,192.95,Box Culvert,BORO KAMALDA BOX CULVERT,3.2,A,22.6868697647058,91.6220385823529,bridge
164,163,N1,194.149,Box Culvert,TARAT BOX CULVERT,6.0,A,22.6769772991044,91.6268169453731,bridge
165,164,N1,194.998,Box Culvert,Tarial Bazar Culvert,3.0,A,22.6699594391304,91.6293531695652,bridge
166,165,N1,195.501,Box Culvert,MIRJA PUR (3 BOX CULVERT,3.0,A,22.6657838981081,91.6311293581081,bridge
167,166,N1,196.038,Box Culvert,SATU DURUAR HAT BOX CULVERT,3.0,A,22.6615956814814,91.6335257425926,bridge
168,167,N1,196.925,Box Culvert,RONA SORA CULVERT,3.1,A,22.6547124294117,91.6379261764705,bridge
169,168,N1,197.39,Box Culvert,NUNA CHARA BOX CULVERT,4.6,A,22.6510709547445,91.6400341194647,bridge
170,169,N1,197.846,Box Culvert,BOTTOL BOX CULVERT,12.4,A,22.6474561112311,91.6419171170626,bridge
171,170,N1,199.279,Box Culvert,KACHAI PATH BOX CULVERT,3.0,A,22.636096590965,91.648209240657,bridge
172,171,N1,199.502,Box Culvert,KACHAI POTTI BOX CULVERT,3.0,A,22.6343285718685,91.6492077265913,bridge
173,172,N1,200.277,Box Culvert,EGOL PUR BOX CULVERT,3.0,A,22.6281666352941,91.6527578258312,bridge
174,173,N1,200.575,Box Culvert,UTTOR SITAKONDO BAZAR BOX CULVERT,6.1,B,22.6258323373493,91.6541857554217,bridge
175,174,N1,200.918,Slab Culvert,SITAKUNDA SLAB,3.0,A,22.6230461711711,91.6554672531531,bridge
176,175,N1,201.52,Box Culvert,MOHADAB PUR BOX CULVERT,3.0,A,22.6177563490118,91.6580589438735,bridge
177,176,N1,201.999,Slab Culvert,PURBOMOHADAB PUR SLAB CULVERT(L,4.6,A,22.6149899686274,91.6602670503268,bridge
178,177,N1,201.999,Box Culvert,DULAHAJRA(R,4.6,A,22.6149899686274,91.6602670503268,bridge
179,178,N1,202.435,Box Culvert,MADICAL MORE CULVERT,3.0,A,22.6117556741935,91.6625686731182,bridge
180,179,N1,203.457,Box Culvert,DOKHIN MOHADEB PUR BOX CULVERT,2.95,A,22.6038394411764,91.6673745588235,bridge
181,180,N1,203.651,Box Culvert,KALIAVA BOX CULVERT,4.5,B,22.6023506949579,91.6683367336134,bridge
182,181,N1,204.342,Box Culvert,SKM BOX CULVERT(1,9.3,B,22.5971665766519,91.671819207489,bridge
183,182,N1,204.765,Box Culvert,HATILOTA BOX CULVERT,4.5,A,22.5938881803921,91.6738889367647,bridge
184,183,N1,205.615,RCC Girder Bridge,BAROCONDO BRIDGE,22.25,C,22.5870350167767,91.6770444686922,bridge
185,184,N1,206.3,Box Culvert,BAROGINDO CULVERT,2.5,A,22.5815086746355,91.6795390413994,bridge
186,185,N1,206.866,Box Culvert,BARO-CUNDHOW BOX CULVERT,10.2,A,22.5767930229508,91.68162274153,bridge
187,186,N1,207.64,Box Culvert,PHPMORE BON CULVERT,3.0,A,22.5702905930578,91.6840096656198,bridge
188,187,N1,207.913,Box Culvert,CHARA KANDI BOX CULVERT,8.2,A,22.5679968064462,91.6846866604958,bridge
189,188,N1,208.1,Box Culvert,R. R TEXTAIL BOX CULVERT,4.5,A,22.5664212916363,91.6851826636363,bridge
190,189,N1,209.024,Box Culvert,OHIDPUR BOX CULVERT,4.1,A,22.5585210862619,91.687506242492,bridge
191,190,N1,209.514,RCC Girder Bridge,BARSH BARIA BRIDGE,21.6,B,22.5543319776357,91.6887963149094,bridge
192,191,N1,210.476,Box Culvert,SOUTH BALSH KHALI BOX CULVERT,3.0,A,22.5467727210909,91.6926260603636,bridge
193,192,N1,210.776,Box Culvert,DOKHIN BASH-KHALI BOX CULVERT,5.2,A,22.5444897756363,91.6941310785454,bridge
194,193,N1,211.433,Box Culvert,SOTTANA MONDIR CULVERT,8.2,A,22.5390300234693,91.6965452744898,bridge
195,194,N1,212.483,Box Culvert,GULAM JUTE MILE BOX CULVERT,3.0,A,22.5303678038461,91.7004641228571,bridge
196,195,N1,213.386,Arch Masonry,KYSTELGATE ARCH,16.3,B,22.5229359167189,91.7038366163009,bridge
197,196,N1,214.807,RCC Girder Bridge,BORO KUMIRA BRIDGE,27.0,C,22.5113471164122,91.7087907889313,bridge
198,197,N1,215.467,Box Culvert,ROYL CIMINT GATE CULVETRT,4.5,A,22.5060220437735,91.7112848218867,bridge
199,198,N1,216.196,RCC Girder Bridge,GORA MARA RCC GIRDER BRIDGE,17.6,A,22.5000858335766,91.7141504905109,bridge
200,199,N1,217.377,Box Culvert,GORA MARI BOX CULVERT,3.0,B,22.4904405976324,91.7182726733934,bridge
201,200,N1,217.942,Box Culvert,BARAOWLLA BOX CULVERT,4.5,A,22.4855480068965,91.7195309517241,bridge
202,201,N1,218.441,RCC Girder Bridge,Baro Aulia,24.33,D,22.4811642144766,91.7203633632516,bridge
203,202,N1,219.427,Box Culvert,HATIBORI BOX CULVERT,6.0,A,22.4728530893544,91.7232633541336,bridge
204,203,N1,220.725,RCC Girder Bridge,Modonhat Bridge,24.32,D,22.4624386352,91.7285307,bridge
205,204,N1,222.357,Box Culvert,KODOM RASUL BOX CULVERT,3.0,A,22.4488628503871,91.7342823894358,bridge
206,205,N1,222.687,RCC Girder Bridge,SALAKHARPAD BRIDGE,26.3,C,22.4460793332411,91.7353674287057,bridge
207,206,N1,223.743,Box Culvert,HASNA BAD BOX CULVERT,3.0,A,22.4375035216216,91.7386659473513,bridge
208,207,N1,224.053,RCC Girder Bridge,VATERIE BRIDGE,40.0,A,22.4350737918918,91.7396527192432,bridge
209,208,N1,225.702,PC Girder Bridge,DHAMAKHALI BRIDGE,35.1,B,22.4220415536,91.7480209792,bridge
210,209,N1,228.029,Box Culvert,VATIARI CULVERT,5.0,A,22.4030145445,91.75657411625,bridge
211,210,N1,228.797,Box Culvert,T. B HOSPITAL GATE BOX CULVERT,3.0,A,22.3963398830265,91.7582551580777,bridge
212,211,N1,229.203,PC Girder Bridge,GAMMON BRIDGE,18.0,A,22.3927175345622,91.7590882138248,bridge
213,212,N1,230.13,Box Culvert,PAKKA MATA BOX CULVERT,3.0,A,22.38524588272,91.76250565776,bridge
214,213,N1,230.921,Box Culvert,GLAXO BOX CULVERT,8.3,A,22.3797011826666,91.7670476533333,bridge
215,214,N1,231.966,Box Culvert,CORNAIL HAT BOX CULVERT,3.0,A,22.3696841276595,91.7739258709219,bridge
216,215,N1,242.016,Box Culvert,BOALIA BOX CULVERT,4.65,C,22.3599057425992,91.8522694918171,bridge
217,216,N1,242.898,RCC Girder Bridge,BAKULIA BRIDGE,14.7,B,22.3522674714754,91.852622049836,bridge
218,217,N1,244.367,RCC Girder Bridge,5 No hafez bazar Bridge,39.67,C,22.3395393508599,91.8533871579852,bridge
219,218,N1,244.856,RCC Girder Bridge,Tulatuli Bridge,40.38,C,22.3357673216494,91.8538536927835,bridge
220,219,N1,244.975,RCC Girder Bridge,Rajakhali Bridge,49.31,C,22.3349153368556,91.8533979043814,bridge
221,220,N1,246.02,Truss With Timber Deck,Hajrath Sha Amanath Satu,914.0,C,22.3266451369152,91.852759390139,bridge
222,221,N1,247.637,RCC Girder Bridge,SHIKALBAHA BRIDGE,11.0,C,22.3129265129032,91.856181916129,bridge
223,222,N1,248.499,Box Culvert,SHIKALBAHA,15.2,C,22.306457756,91.860449028,bridge
224,223,N1,249.04,Box Culvert,SOUTH MITTACHORI,3.0,A,22.3026235524271,91.8635646970873,bridge
225,224,N1,249.348,Box Culvert,SHIKALBAHA BOX CULVERT,5.7,B,22.3002851293515,91.8652980307167,bridge
226,225,N1,249.674,Box Culvert,KADUMTOLI CULVERT,3.0,A,22.2975350260563,91.866363031514,bridge
227,226,N1,250.215,Slab Culvert,ISLAMPUR CULVERT,1.5,A,22.2932366309133,91.8684360651053,bridge
228,227,N1,250.519,Box Culvert,NOLBILA CULVERT,3.0,A,22.2916421411764,91.8702911411764,bridge
229,228,N1,250.841,Box Culvert,SHIKALBAHA MORE,3.0,A,22.2926079302013,91.8730201176733,bridge
230,229,N1,251.281,Box Culvert,SHIKALBAHA BOX CULVERT,3.0,A,22.2944653526717,91.876717971374,bridge
231,230,N1,251.538,PC Girder Bridge,SHIKALBAHA BRIDGE,116.5,C,22.2962698699619,91.8807528022813,bridge
232,231,N1,252.506,Box Culvert,SHANTERHAT CULVERT,3.0,B,22.2988369230769,91.8873512822898,bridge
