road,km,type,model_type,name,length,condition,lat,lon,intersec_to,id
N2,198.883,Box Culvert,bridge,SASHARGAT BRIDGE,3.0,A,24.6822022946488,91.7236054080267,,2345
N2,199.08550000000002,link,link,link,391.0,,24.68407624617495,91.72393998734665,,2346
N2,199.288,Steel Beam & RCC Slab,bridge,BROMMON GRAM,24.5,A,24.6859501977011,91.7242745666666,,2347
N2,199.4215,link,link,link,253.0,,24.68711191537945,91.72444819325065,,2348
N2,199.555,Box Culvert,bridge,BRAMMOR GRANON,3.0,A,24.6882736330578,91.7246218198347,,2349
N2,199.8585,link,link,link,604.0,,24.690924516528902,91.7252259917355,,2350
N2,200.162,Box Culvert,bridge,BRAMMOR GRAME BOX CULVERT,2.5,A,24.6935754,91.7258301636363,,2351
N2,200.3465,link,link,link,367.0,,24.69515628704375,91.7263649801758,,2352
N2,200.531,Box Culvert,bridge,BRAMMONGRAM BOX CULVERT,2.0,A,24.6967371740875,91.7268997967153,,2353
N2,200.89600000000002,link,link,link,728.0,,24.6997642925157,91.7282287147051,,2354
N2,201.261,Box Culvert,bridge,GOYALA BAZAR,3.0,A,24.7027914109439,91.7295576326949,,2355
N2,201.8365,link,link,link,1145.0,,24.706246914043348,91.73379705396646,,2356
N2,202.412,Box Culvert,bridge,GOYNAGAT BOXCULVERT,8.2,A,24.7097024171428,91.738036475238,,2357
N2,203.473,link,link,link,2116.0,,24.71623089540065,91.7454663595702,,2358
N2,204.534,Box Culvert,bridge,TAJPUR BAZAR BOX,3.0,A,24.7227593736585,91.7528962439024,,2359
N2,205.076,link,link,link,1079.0,,24.725640112691302,91.7572137650546,,2360
N2,205.618,Box Culvert,bridge,CHANDPUR BOX CULVERT,7.2,A,24.7285208517241,91.7615312862068,,2361
N2,205.971,link,link,link,701.0,,24.73042734977505,91.7642882474512,,2362
N2,206.324,Box Culvert,bridge,SIMMANPUR BOX CULVERT,2.0,A,24.732333847826,91.7670452086956,,2363
N2,206.551,link,link,link,450.0,,24.73371730814175,91.7686770202923,,2364
N2,206.778,Box Culvert,bridge,KASIKAPON BOX CULVERT,6.25,A,24.7351007684575,91.770308831889,,2365
N2,207.4005,link,link,link,1241.0,,24.73950734422875,91.77364219165875,,2366
